Id	Lvl	Name
-1	0	Test
1	20	StartingBoat
2	2	GrandViewLibrary
3	3	GrandViewColiseum
4	4	GrandViewBazaar
5	1	GrandViewStreets
6	0	GrandViewJail
7	20	GrandViewHospital
8	7	DeepWoodForest
9	0	GrandViewDeepForest
10	6	Woodbrook
11	0	GrandViewGarden
12	11	KoboldLair
13	14	AbandonedDwarvenMine
14	0	EndLessDesert
15	15	AbandonedDwarvenCamp
16	16	GoblinCamp
17	0	DeepWoodForestGoblinCamp
18	80	AshMaze
19	0	DragonMountainFace
20	20	CharonTemple
21	30	GrandViewGraveYard
22	0	MountainPlateau
23	20	EnchantersTower
24	22	GrandViewCastle
25	0	UnderGrandViewCastle
